,tweet,tag,tag_idx
0,"(FREE) Quick Gamer: #Baylor overpowers Oklahoma, 27-14; Back in Big 12 title race #SicEm  https://t.co/MtNA6pyE5z  https://t.co/44rdp7E7eD",AEWFullGear,0
0,What’s Herb waiting for there? He basically let the fighter stop it for him? One of the weirdest stoppages I’ve seen! #UFCVegas42,Darby,1
1,"Must. Watch. Barrage!  The actual stoppage was not ""must watch"" tho.  Impressive win by Marcos Rogerio de Lima!  #UFCVegas42",Darby,1
2,"Taking Holloway. Always a chance Yair lands something wild, but Holloway puts volume out there like nobody else in MMA. Can't see Yair meeting Holloway on striking terms and surviving. #UFCVegas42",Darby,1
4,"Awesome power, but glad I'm not a ref. #UFCVegas42 Seeing it in slo-mo makes me not convinced either way.",Darby,1
5,Rogan is a #Covidiot #UFCVegas42,Darby,1
6,Come on herb wtf was that #UFCVegas42,Darby,1
7,"Herb Dean is simply not decisive enough. It’s gotten really bad. I say this with much love, Herb.  #UFCVegas42",Darby,1
8,Herb Dean has zero confidence its like he cant mentally handle his previous mistakes and the criticism that comes with it. Get him out of here. #UFCVegas42,Darby,1
9,Come on Max #UFCVegas42,Darby,1
10,Dan Hardy like #UFCVegas42  https://t.co/VD5myLOyPy,Darby,1
11,Let’s get it max 🔥🤝 #UFCVegas42,Darby,1
12,Come on then @BlessedMMA #UFCVegas42,Darby,1
14,"Heart says Yair, everything else feels Max gets it done #UFCVegas42",Darby,1
15,"#UFCVegas42 That’s 8 knockouts! Tied for first place in all time for any ufc event!  Now we have the main event, will this card be #1 in all time???",Darby,1
17,"This translator speaks Spanish, Portuguese. Speaks English perfect translate so clearly. Why can’t the UFC hire this guy full-time? 😂#UFCVegas42",Darby,1
18,"""I am not afraid of Amanda Nunes"" - Julianna Pena 👀 #UFCVegas42 #MMA #UFC",Darby,1
19,Alright Max Holloway gonna go the distance and win on decision #UFCVegas42,Darby,1
20,I'm taking my boi @BlessedMMA round 3 tko #UFCVegas42,Darby,1
21,"We dont need no promo for 269, we already sold let's start the main event lol #UFCVegas42",Darby,1
23,Herb Dean should retire at this point. Dude sucks. #UFCVegas42,Darby,1
24,"Next fight on #UFCVegas42 👊👊 Max Holloway (22-6, fighting out of Waianae, Hawaii) battles Yair Rodriguez (13-2 1NC, fighting out of Parral, Chihuahua, Mexico)in a clash of dynamic strikers  📹 @JM_BoxeoMundial  #UFC #MMA #AMM  https://t.co/GMlSEoGXlJ",Darby,1
25,#UFCVegas42  MOMENTOUS OCCASION ALERT:  Finally agree with Aljo on something 👇,Darby,1
26,Does @bisping actually understand Portuguese or does he just smile and nod randomly when interviewing Brazilian fighters #UFCVegas42,Darby,1
28,"Holy fuck, we're about to watch Max Holloway v Yair Rodriguez. #UFCVegas42",Darby,1
29,"Amanda truly is great, but hate to say it. The competition is not there for her. And 145 it’s non existent #UFCVegas42",Darby,1
30,fast for a big man! Wow! #UFCVegas42  https://t.co/ejcsTWImBS,Darby,1
31,What incredible power #UFCVegas42,Darby,1
32,Time for a typical holloway masterclass #UFCVegas42,Darby,1
33,Future Champ #UFC269 #UFCVegas42  https://t.co/J6JZoVGqfM,Darby,1
34,"Worst stoppage in recent memory, 30 seconds in and rothwell was barely knocked down, come on Herb Dean #UFCVegas42",Darby,1
35,"Ultimately, Herb Dean made the right decision - but you cannot hesitate on a knockout stoppage!  #UFCVegas42",Darby,1
37,"“Maybe, maybe not” ~herb dean  #UFCVegas42",Darby,1
38,Main event of #UFCVegas42 is next. Odds:  Max Holloway is -750 at @BetMGM  v Yair Rodriguez +500   Will go the distance: Even Won't go distance: -125  Fight to start Round 3: -300 Fight won't start Round 3: +225  Holloway by decision -120 Rodriguez by decision +1200,Darby,1
39,Client Play: #UFCVegas42  Ben Rothwell (-150) 💥  Rothwell got blitzed and sparked! Holy shit. Credit to him but speed kills.   2-1 😎 Big Ben let us down...  https://t.co/8Lo58kmTVd,Darby,1
40,wow Ben Rothwell got smoked so fast  #UFCVegas42,Darby,1
41,Oooooooowee! DeLima with a bunch of powerful punches for Rothwell wins in 32 seconds of the first round by TKO. #UFCVegas42 #MMA,Darby,1
42,Main event time: Max Holloway vs. Yair Rodriguez #UFCVegas42,Darby,1
43,Can I get a Holloway KO??? #UFCVegas42,Darby,1
44,9 finishes on #UFCVegas42 card is tied for the most on a single fight card this year along with UFC 261 and UFC 259.,Darby,1
45,My Holloway decision bet looking shaky now given all these KOs. Great watching so far though #UFCVegas42,Darby,1
46,Thank you de Lima...and Herb Dean.😆🤑🤑 #ufc #UFCVegas42  https://t.co/SBXIrZ02wJ,Darby,1
47,Let’s go Rodriguez 🇲🇽 #UFCVegas42,Darby,1
48,#UFCVegas42  not bad close? Or holloway is the best boxer in ufc  https://t.co/WwTkcAUEaV,Darby,1
49,"Lock it in, the return of mystic goon #UFCVegas42  https://t.co/g4j0pJn2le",Darby,1
51,I'm too hyped for this fight. Blessed express still up and running babyyyyyy #UFCVegas42  https://t.co/vwHacmI4tp,Darby,1
52,Rothwell be getting knocked. That's just his thing. Hit hard or get hit hard. #UFCVegas42,Darby,1
53,Julianna Pena using the mic to spark interest in her fight against Amanda Nunes. Can her in-ring work match it? #UFCVegas42 #MMA,Darby,1
54,Wouldn’t be surprised if Yair wins this. #UFCVegas42,Darby,1
55,Herb Dean is the worst referee #UFCVegas42 no offense @HerbDeanMMA,Darby,1
56,"#UFCVegas42 what a co-main, power shots from delima 🔥",Darby,1
